Extract.Date,LA.Code,LA.Name,Breakdown.Field,Breakdown.Value,Patient.Count,LAD19NM,pop19,age65plus,pct_over65_18,RGN19CD,RGN19NM,Shielders_pct,rank_imd,decile_imd,quintile_imd,rank_income,decile_income,quintile_income
16/09/2020,E07000202,Ipswich,ALL,ALL,6155,Ipswich,136913,23032,16.8223616457166,E12000006,East of England,4.49555557178646,71,3,2,89,3,2
16/09/2020,E06000052+E06000053,Cornwall and Isles of Scilly,ALL,ALL,25620,,571802,,,,South West,4.48057194623314,,,,,,
16/09/2020,E07000225,Chichester,ALL,ALL,5425,Chichester,121129,33201,27.409621147702,E12000008,South East,4.47869626596439,225,8,4,235,8,4
16/09/2020,E07000043,North Devon,ALL,ALL,4335,North Devon,97145,24540,25.2612074733646,E12000009,South West,4.46240156467137,132,5,3,151,5,3
16/09/2020,E07000139,North Kesteven,ALL,ALL,5215,North Kesteven,116915,27580,23.5897874524227,E12000004,East Midlands,4.46050549544541,271,9,5,230,8,4
16/09/2020,E07000170,Ashfield,ALL,ALL,5700,Ashfield,127918,24786,19.3764755546522,E12000004,East Midlands,4.4559796119389,68,3,2,73,3,2
16/09/2020,E08000006,Salford,ALL,ALL,11490,Salford,258834,36729,14.1901759428823,E12000002,North West,4.43913859848397,18,1,1,24,1,1
16/09/2020,E06000010,"Kingston upon Hull, City of",ALL,ALL,11525,"Kingston upon Hull, City of",259778,39323,15.1371555712955,E12000003,Yorkshire and The Humber,4.43648037940087,4,1,1,6,1,1
16/09/2020,E07000200,Babergh,ALL,ALL,4060,Babergh,92036,24224,26.3201355991134,E12000006,East of England,4.41131731061758,218,7,4,233,8,4
16/09/2020,E06000027,Torbay,ALL,ALL,6010,Torbay,136264,36612,26.8684318675512,E12000009,South West,4.41055597956907,48,2,1,39,2,1
16/09/2020,E07000033,Bolsover,ALL,ALL,3540,Bolsover,80562,16192,20.0988058886324,E12000004,East Midlands,4.39413122812244,84,3,2,78,3,2
16/09/2020,E07000218,North Warwickshire,ALL,ALL,2850,North Warwickshire,65264,14273,21.8696371659721,E12000005,West Midlands,4.36687913704339,167,6,3,190,6,3
16/09/2020,E07000189,South Somerset,ALL,ALL,7340,South Somerset,168345,43102,25.6033740235825,E12000009,South West,4.36009385488135,172,6,3,196,7,4
16/09/2020,E08000024,Sunderland,ALL,ALL,12105,Sunderland,277705,54843,19.7486541473866,E12000001,North East,4.35894204281522,35,2,1,22,1,1
16/09/2020,E07000136,Boston,ALL,ALL,3050,Boston,70173,14688,20.9311273566756,E12000004,East Midlands,4.34640103743605,102,4,2,112,4,2
16/09/2020,E09000015,Harrow,ALL,ALL,10900,Harrow,251160,39988,15.9213250517598,E12000007,London,4.33986303551521,207,7,4,156,5,3
16/09/2020,E07000193,East Staffordshire,ALL,ALL,5195,East Staffordshire,119754,23081,19.2736777059639,E12000005,West Midlands,4.33805968902918,147,5,3,175,6,3
16/09/2020,E07000127,West Lancashire,ALL,ALL,4945,West Lancashire,114306,25313,22.1449442723917,E12000002,North West,4.32610711598691,155,5,3,123,4,2
16/09/2020,E07000066,Basildon,ALL,ALL,8095,Basildon,187199,32240,17.222314221764,E12000006,East of England,4.32427523651302,100,4,2,95,3,2
16/09/2020,E06000056,Central Bedfordshire,ALL,ALL,12480,Central Bedfordshire,288648,51773,17.9363792577811,E12000006,East of England,4.32360522158477,254,9,5,247,8,4
16/09/2020,E08000010,Wigan,ALL,ALL,14125,Wigan,328662,62908,19.1406368853107,E12000002,North West,4.29772836531147,75,3,2,77,3,2
